City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
289,dudinka,69.4058,86.1778,-4.85,91,100,8.67,RU,1732566694
290,zadonsk,52.3904,38.9261,-2.5,80,6,2.56,RU,1732566695
291,berdigestyakh,62.0989,126.6992,-33.62,100,86,0.97,RU,1732566697
292,birao,10.2849,22.7882,22.32,23,5,2.37,CF,1732566698
293,mitu,1.1983,-70.1733,30.36,52,56,0.99,CO,1732566699
294,kone,-21.0595,164.8658,26.85,72,87,1.62,NC,1732566700
295,i-n-salah,27.1935,2.4607,20.42,35,0,6.26,DZ,1732566701
296,kuloy,61.0305,42.4925,-0.25,83,100,6.89,RU,1732566702
297,dawson creek,55.7666,-120.2362,-24.2,77,0,0.0,CA,1732566703
298,uelzen,52.9667,10.5667,13.6,89,100,4.07,DE,1732566704
299,fortuna,40.5982,-124.1573,13.88,94,75,4.63,US,1732566706
300,la sarre,48.8002,-79.1996,0.02,84,100,0.74,CA,1732566707
301,nsanje,-16.92,35.262,24.09,85,5,1.49,MW,1732566708
302,dolores,-36.3132,-57.6792,24.56,49,2,9.74,AR,1732566709
303,veselyy,47.0934,40.7422,1.46,99,100,4.96,RU,1732566710
304,paramonga,-10.6667,-77.8333,20.52,81,79,4.62,PE,1732566711
305,socorro,31.6546,-106.3033,23.6,15,100,5.14,US,1732566712
306,addiet canna,11.2667,37.4833,13.62,92,97,1.98,ET,1732566713
307,kristiansund,63.1115,7.732,7.36,61,0,1.03,NO,1732566715
308,yaren,-0.5472,166.916,27.87,79,46,8.58,NR,1732566716
309,puerto aysen,-45.4,-72.7,11.09,99,100,0.92,CL,1732566717
310,bel ombre,-4.6167,55.4167,27.91,74,40,2.06,SC,1732566718
311,nyurba,63.2842,118.3319,-23.0,95,100,3.75,RU,1732566719
312,petropavlovsk-kamchatsky,53.0452,158.6483,-4.67,68,0,3.0,RU,1732566720
313,zemio,5.0314,25.1361,21.94,48,5,1.24,CF,1732566721
